"";"Species_Richness";"Species_TSH";"Species_Evenness";"KOG_Richness";"KOG_TSH";"KO_Evenness";"nrAOM_seq_Richness";"nrAOM_seq_TSH";"nrAOM_seq_Evenness"
"ANT28_193";11279;281,655956206952;0,604529949643256;7636;2077,08309206115;0,854382803598491;388767;152097,797403206;0,927086025767107
"ANT28_241";9234;426,928357436813;0,663328219560131;6227;1566,83438138419;0,84206332899315;233580;68220,0475368977;0,900432142462567
"ANT28_287";10346;449,394475425502;0,660716826744645;6986;1661,25179598145;0,83773256333705;239732;67701,5293762191;0,897926487669905
"ANT28_179";10091;383,305967383064;0,645251756761068;6510;1590,38369482631;0,839500176902786;243115;76958,2423560675;0,907245808493403
"ANT28_178";10185;260,424637536529;0,602720946706578;6863;1535,68672316811;0,830520266705587;275340;85570,0938344024;0,906698622502447
"ANT28_296";12480;548,782482901973;0,668763850915086;8045;1972,91651640223;0,843704194437676;430193;165089,386455555;0,926168079132736
"ANT28_297";11931;543,435676932793;0,670925915954294;7927;1877,38044060513;0,839564220424119;437563;185316,671833465;0,933855094061221
"ANT28_300";12705;328,315615893829;0,613135251206095;8079;1881,47273436296;0,83803384728476;725790;379280,365942078;0,951909280169771
"ANT28_302";12196;285,328457106087;0,600884592815167;6989;1509,61868046327;0,826879311367309;554253;193322,543929748;0,920360584672482
"ANT28_308";11841;347,092995771549;0,623668948831508;6388;1442,88782935979;0,830204894146006;468850;160741,233099284;0,918020835132958
"ANT28_310";11648;240,750835674387;0,585691240231904;6263;1412,48603353493;0,829645689613776;467964;146765,372662366;0,911186953259803
"ANT28_311";11301;231,718464146554;0,583491844491586;5736;1358,30379138772;0,833552198169909;451703;152627,724850921;0,916669885743944
"ANT28_312";11018;278,384344734784;0,604795312950534;6418;1446,29884458949;0,830030539915598;369173;126256,19659662;0,916299985043209
"ANT28_313";11651;235,507337325892;0,583323309874942;6182;1473,01284121659;0,835689456170039;460697;140057,496986032;0,908693078566252
"ANT28_315";11976;355,677178894103;0,625517648900742;6821;1631,44383278498;0,837949779183135;507783;198160,05068787;0,928376252362164
"ANT28_319";11801;453,957413339342;0,652521633281102;7778;1652,68367069346;0,827113586656371;548276;260992,737608234;0,943828043945579
"ANT28_320";11760;503,380867665863;0,663790252777306;8033;1975,15902278384;0,843970608990951;501941;191933,985498617;0,926762633311923
"ANT28_321";12515;446,414457304143;0,64668284722869;8134;1810,95147332369;0,833159435426568;628164;298974,249303174;0,944388548244803
"ANT28_324";11560;208,386923628946;0,570734562849669;7895;1655,60626385986;0,825934365151582;577276;215905,741248029;0,925865148346726
"ANT28_326";12090;324,230688367219;0,615039668397915;8762;2167,0869761965;0,846110077926435;557520;240720,610735114;0,93652442697254
"ANT28_329";11705;364,692089496284;0,629717909190258;8318;2096,67791219661;0,847325431642225;528128;222834,985968709;0,934514608680929
"ANT28_330";11321;275,164389182075;0,601791208793001;8091;2460,92763879497;0,867732071098239;422390;150351,956437961;0,92025819766012
